bisonID,basisOfRecord,catalogNumber,collectorNumber,recordedBy,providerID,institutionCode,resourceID,ownerInstitutionCollectionCode,eventDate,year,verbatimEventDate,providedScientificName,scientificName,ITISscientificName,providedCommonName,ITIScommonName,ITIStsn,validAcceptedITIStsn,providedTSN,decimalLatitude,decimalLongitude,geodeticDatum,coordinatePrecision,coordinateUncertaintyInMeters,verbatimElevation,verbatimDepth,centroid,higherGeographyID,computedCountyFips,providedCounty,calculatedCounty,providedState,calculatedState,mrgid,calculated_waterbody,establishmentMeans,countryCode,institutionID,collectionID,relatedResourceID,associatedMedia,associatedReferences,generalComments,license
68970174,specimen,49740,,"Harris, Richard",109,Michigan State University Herbarium,"109,202,642",Michigan State University Herbarium Lichens,1967-04-12T01:00Z,1967,,Cladonia leporina Fr.,Cladonia leporina,Cladonia leporina,,NULL,189919,189919,,30.25984955,-84.86858368,,,,,,county,,12077,Liberty,Liberty County,Florida,Florida,,,,US,http://herbarium.msu.edu,http://www.herbarium.msu.edu/lichen.html,,,,,CC0_1_0
69022547,specimen,5975,,"Harris, Richard",109,Michigan State University Herbarium,"109,202,642",Michigan State University Herbarium Lichens,1967-04-15T01:00Z,1967,,Leptogium cyanescens (Rabenh.) Körb.,Leptogium cyanescens,Leptogium cyanescens,,NULL,191399,191399,,30.25984955,-84.86858368,,,,,,county,,12077,Liberty,Liberty County,Florida,Florida,,,,US,http://herbarium.msu.edu,http://www.herbarium.msu.edu/lichen.html,,,,,CC0_1_0
76194331,specimen,41931,,"Harris, Richard",109,Michigan State University Herbarium,"109,202,642",Michigan State University Herbarium Lichens,1967-04-12T01:00Z,1967,,Gyalectaceae,Gyalectaceae,Gyalectaceae,,NULL,500111,500111,,30.25984955,-84.86858368,,,,,,county,,12077,Liberty,Liberty County,Florida,Florida,,,,US,http://herbarium.msu.edu,http://www.herbarium.msu.edu/lichen.html,,,,,CC0_1_0
70654682,specimen,LSU00151460,5077,Alan W. Lievens,281,Louisiana State University Herbarium,"281,201,964",LSU Shirley C. Tucker Herbarium at Louisiana State University - Lichens,1977-08-24T01:00Z,1977,,Buellia curtisii (Tuck.) Imsh.,Buellia curtisii,Buellia curtisii,,NULL,190921,190921,,30.25984955,-84.86858368,,,,,,county,,12077,Liberty,Liberty County,Florida,Florida,,,,US,http://www.herbarium.lsu.edu/,,,,,,CC0_1_0
71001671,specimen,553514,,B.D. Ryan,318,"Arizona State University, Global Institute for Sustainability","318,675",Arizona State University Lichen Collection,1990-12-28T01:00Z,1990,,Pertusaria sinusmexicani Dibben,Pertusaria sinusmexicani,Pertusaria sinusmexicani,,NULL,191584,191584,,30.04999924,-85.01667023,,,,,,,,12077,Liberty,Liberty County,Florida,Florida,,,,US,http://nhc.asu.edu,http://nhc.asu.edu,,,,,CC_BY_4_0
70683711,specimen,,1643,R. C. Harris,220,"National Museum of Natural History, Smithsonian Institution","220,202,612",NMNH Extant Specimen and Observation Records,1967-04-14T01:00Z,1967,,Sticta weigelii (Ach.) Vainio,Sticta weigelii,Sticta weigelii,,NULL,191282,191282,,30.25984955,-84.86858368,,,,,,county,,12077,Liberty,Liberty County,Florida,Florida,,,,US,http://www.nmnh.si.edu/,http://collections.nmnh.si.edu,,,,,CC0_1_0
64544854,specimen,LSU00130501,29892,Shirley C. Tucker,281,Louisiana State University Herbarium,"281,201,964",LSU Shirley C. Tucker Herbarium at Louisiana State University - Lichens,1990-05-04T02:00Z,1990,5/4/90,Cladonia beaumontii (Tuck.) Vainio,Cladonia beaumontii,Cladonia beaumontii,,NULL,189855,189855,,30.04999924,-85.01667023,,,,,,,,12077,Liberty,Liberty County,Florida,Florida,,,,US,http://www.herbarium.lsu.edu/,,,,,,CC0_1_0
234174480,specimen,LSU00144345,1656,Richard C. Harris,281,Louisiana State University Herbarium,"281,201,964",LSU Shirley C. Tucker Herbarium at Louisiana State University - Lichens,1967-04-14T01:00Z,1967,,Lobaria ravenelii (Tuck.) Yoshim.,Lobaria ravenelii,Lobaria ravenelii,,NULL,191264,191264,,30.16271019,-84.67492676,,,2470,,,,,12077,Liberty,Liberty County,Florida,Florida,,,,US,http://www.herbarium.lsu.edu/,,,,,,CC0_1_0
234174481,specimen,LSU00120716,1643,Richard C. Harris,281,Louisiana State University Herbarium,"281,201,964",LSU Shirley C. Tucker Herbarium at Louisiana State University - Lichens,1967-04-14T01:00Z,1967,4/14/67,Sticta beauvoisii Delise,Sticta beauvoisii,Sticta beauvoisii,,NULL,191278,191278,,30.16271019,-84.67492676,,,2470,,,,,12077,Liberty,Liberty County,Florida,Florida,,,,US,http://www.herbarium.lsu.edu/,,,,,,CC0_1_0
234174482,specimen,LSU00148905,1643,Richard C. Harris,281,Louisiana State University Herbarium,"281,201,964",LSU Shirley C. Tucker Herbarium at Louisiana State University - Lichens,1967-04-14T01:00Z,1967,,Sticta beauvoisii Delise,Sticta beauvoisii,Sticta beauvoisii,,NULL,191278,191278,,30.16271019,-84.67492676,,,2470,,,,,12077,Liberty,Liberty County,Florida,Florida,,,,US,http://www.herbarium.lsu.edu/,,,,,,CC0_1_0
