bisonID,basisOfRecord,catalogNumber,collectorNumber,recordedBy,providerID,institutionCode,resourceID,ownerInstitutionCollectionCode,eventDate,year,verbatimEventDate,providedScientificName,scientificName,ITISscientificName,providedCommonName,ITIScommonName,ITIStsn,validAcceptedITIStsn,providedTSN,decimalLatitude,decimalLongitude,geodeticDatum,coordinatePrecision,coordinateUncertaintyInMeters,verbatimElevation,verbatimDepth,centroid,higherGeographyID,computedCountyFips,providedCounty,calculatedCounty,providedState,calculatedState,mrgid,calculated_waterbody,establishmentMeans,countryCode,institutionID,collectionID,relatedResourceID,associatedMedia,associatedReferences,generalComments,license
68995437,specimen,53221,,"Brodo, Irwin",109,Michigan State University Herbarium,"109,202,642",Michigan State University Herbarium Lichens,1961-07-02T01:00Z,1961,,Cladonia caespiticia (Pers.) Flörke,Cladonia caespiticia,Cladonia caespiticia,,NULL,189862,189862,,40.72968674,-73.58938599,,,,,,county,,36059,Nassau,Nassau County,New York,New York,,,,US,http://herbarium.msu.edu,http://www.herbarium.msu.edu/lichen.html,,,,,CC0_1_0
69090428,specimen,23901,,R. Hagelstein,5,University of Arkansas,"51,515",Planetary Biodiversity Inventory Eumycetozoan Databank,1935-07-03T01:00Z,1935,,"Didymium iridis (Ditmar) Fr., 1829",Didymium iridis,Didymium iridis,,NULL,181283,181283,,40.79499817,-73.55667114,,,,,,,,36059,Nassau,Nassau County,Ny,New York,,,,US,http://slimemold.uark.edu/,,,,,,CC_BY_4_0
69090517,specimen,834149,,Hagelstein,5,University of Arkansas,"51,515",Planetary Biodiversity Inventory Eumycetozoan Databank,1923-09-16T01:00Z,1923,,"Lycogala epidendrum (L.) Fr., 1829",Lycogala epidendrum,Lycogala epidendrum,,NULL,181340,181340,,40.88700104,-73.55509949,,,,,,,,36059,Nassau,Nassau County,New York,New York,,,,US,http://slimemold.uark.edu/,,,,,,CC_BY_4_0
69092145,specimen,834146,,Hagelstein,5,University of Arkansas,"51,515",Planetary Biodiversity Inventory Eumycetozoan Databank,1923-09-20T01:00Z,1923,,"Lycogala epidendrum (L.) Fr., 1829",Lycogala epidendrum,Lycogala epidendrum,,NULL,181340,181340,,40.88700104,-73.55509949,,,,,,,,36059,Nassau,Nassau County,New York,New York,,,,US,http://slimemold.uark.edu/,,,,,,CC_BY_4_0
69086924,specimen,817663,,"Hagelstein, R. L.",5,University of Arkansas,"51,515",Planetary Biodiversity Inventory Eumycetozoan Databank,1923-10-14T01:00Z,1923,,"Didymium squamulosum (Alb. & Schwein.) Fr. & Palmquist, 1818",Didymium squamulosum,Didymium squamulosum,,NULL,181285,181285,,40.80070114,-73.72850037,,,,,,,,36059,Long Island,Nassau County,New York,New York,,,,US,http://slimemold.uark.edu/,,,,,,CC_BY_4_0
69087968,specimen,831047,,,5,University of Arkansas,"51,515",Planetary Biodiversity Inventory Eumycetozoan Databank,1924-06-23T01:00Z,1924,,"Arcyria cinerea (Bull.) Pers., 1801",Arcyria cinerea,Arcyria cinerea,,NULL,181367,181367,,40.77330017,-73.64360046,,,,,,,,36059,Nassau,Nassau County,New York,New York,,,,US,http://slimemold.uark.edu/,,,,,,CC_BY_4_0
69087987,specimen,805801,,Hagelstein,5,University of Arkansas,"51,515",Planetary Biodiversity Inventory Eumycetozoan Databank,1924-07-17T01:00Z,1924,,"Arcyria cinerea (Bull.) Pers., 1801",Arcyria cinerea,Arcyria cinerea,,NULL,181367,181367,,40.77299881,-73.64399719,,,,,,,,36059,Nassau,Nassau County,New York,New York,,,,US,http://slimemold.uark.edu/,,,,,,CC_BY_4_0
69088082,specimen,836432,,"Hagelstein, R. L.",5,University of Arkansas,"51,515",Planetary Biodiversity Inventory Eumycetozoan Databank,1924-07-01T01:00Z,1924,,"Trichia favoginea (Batsch) Pers., 1794",Trichia favoginea,Trichia favoginea,,NULL,181362,181362,,40.77299881,-73.64399719,,,,,,,,36059,Nassau,Nassau County,New York,New York,,,,US,http://slimemold.uark.edu/,,,,,,CC_BY_4_0
69088083,specimen,836258,,"Hagelstein, R. L.",5,University of Arkansas,"51,515",Planetary Biodiversity Inventory Eumycetozoan Databank,1923-11-04T01:00Z,1923,,"Trichia favoginea (Batsch) Pers., 1794",Trichia favoginea,Trichia favoginea,,NULL,181362,181362,,40.77299881,-73.64399719,,,,,,,,36059,Nassau,Nassau County,New York,New York,,,,US,http://slimemold.uark.edu/,,,,,,CC_BY_4_0
69088084,specimen,836262,,"Hagelstein, R. L.;Rispaud, J. H.",5,University of Arkansas,"51,515",Planetary Biodiversity Inventory Eumycetozoan Databank,1944-07-10T02:00Z,1944,,"Trichia favoginea (Batsch) Pers., 1794",Trichia favoginea,Trichia favoginea,,NULL,181362,181362,,40.77299881,-73.64399719,,,,,,,,36059,Nassau,Nassau County,New York,New York,,,,US,http://slimemold.uark.edu/,,,,,,CC_BY_4_0
