bisonID,basisOfRecord,catalogNumber,collectorNumber,recordedBy,providerID,institutionCode,resourceID,ownerInstitutionCollectionCode,eventDate,year,verbatimEventDate,providedScientificName,scientificName,ITISscientificName,providedCommonName,ITIScommonName,ITIStsn,validAcceptedITIStsn,providedTSN,decimalLatitude,decimalLongitude,geodeticDatum,coordinatePrecision,coordinateUncertaintyInMeters,verbatimElevation,verbatimDepth,centroid,higherGeographyID,computedCountyFips,providedCounty,calculatedCounty,providedState,calculatedState,mrgid,calculated_waterbody,establishmentMeans,countryCode,institutionID,collectionID,relatedResourceID,associatedMedia,associatedReferences,generalComments,license
63152659,specimen,8957,,Joneson,25,University of Washington Burke Museum,"258,442",Lichen Collection - University of Washington Herbarium (WTU),2001-03-19T01:00Z,2001,,Physcia adscendens H.Olivier,Physcia adscendens,Physcia adscendens,,NULL,191080,191080,,46.29124832,-124.0740738,,,,,,,,53049,Pacific,Pacific County,Washington,Washington,8456000,US Pacific EEZ,,US,http://www.washington.edu/burkemuseum/collections/index.php,http://www.washington.edu/burkemuseum/collections/herbarium/index.php,,,,,CC0_1_0
70647106,specimen,,1859,W. J. Eyerdam,220,"National Museum of Natural History, Smithsonian Institution","220,202,612",NMNH Extant Specimen and Observation Records,1957-07-27T01:00Z,1957,,Lobaria pulmonaria (L.) Hoffm.,Lobaria pulmonaria,Lobaria pulmonaria,,NULL,191262,191262,,46.55658722,-123.7824173,,,,,,county,,53049,Pacific,Pacific County,Washington,Washington,,,,US,http://www.nmnh.si.edu/,http://collections.nmnh.si.edu,,,,,CC0_1_0
70658017,specimen,23290,,Grace E. Howard,25,University of Washington Burke Museum,"258,442",Lichen Collection - University of Washington Herbarium (WTU),1931-08-05T01:00Z,1931,,Buellia disciformis (Fr.) Mudd,Buellia disciformis,Buellia disciformis,,NULL,190923,190923,,46.55658722,-123.7824173,,,,,,county,,53049,Pacific,Pacific County,Washington,Washington,,,,US,http://www.washington.edu/burkemuseum/collections/index.php,http://www.washington.edu/burkemuseum/collections/herbarium/index.php,,,,,CC0_1_0
70660037,specimen,23309,,Grace E. Howard,25,University of Washington Burke Museum,"258,442",Lichen Collection - University of Washington Herbarium (WTU),1940-07-06T02:00Z,1940,,Buellia disciformis (Fr.) Mudd,Buellia disciformis,Buellia disciformis,,NULL,190923,190923,,46.55658722,-123.7824173,,,,,,county,,53049,Pacific,Pacific County,Washington,Washington,,,,US,http://www.washington.edu/burkemuseum/collections/index.php,http://www.washington.edu/burkemuseum/collections/herbarium/index.php,,,,,CC0_1_0
66769102,specimen,KR-M-0027030 / 453765 / 35619,,,158,Staatliche Naturwissenschaftliche Sammlungen Bayerns,"15,814,940",Fungus Collections at Staatliches Museum für Naturkunde Karlsruhe (Herbarium KR),1922-09-11T01:00Z,1922,,"Cronartium ribicola J.C. Fisch., 1872",Cronartium ribicola,Cronartium ribicola,,white-pine blister rust,192053,192053,,46.29999924,-124.0329971,,,,,,,,53049,,Pacific County,,Washington,8456000,US Pacific EEZ,L48,US,http://www.snsb.de,http://www.diversityworkbench.de/DatabaseClients/SMNKfungicoll/,,,,,CC_BY_NC_4_0
70313361,specimen,9363,,Joneson,25,University of Washington Burke Museum,"258,442",Lichen Collection - University of Washington Herbarium (WTU),2001-03-19T01:00Z,2001,,Ramalina farinacea (L.) Ach.,Ramalina farinacea,Ramalina farinacea,,NULL,190868,190868,,46.29565048,-124.0752792,,,,,,,,53049,Pacific,Pacific County,Washington,Washington,8456000,US Pacific EEZ,,US,http://www.washington.edu/burkemuseum/collections/index.php,http://www.washington.edu/burkemuseum/collections/herbarium/index.php,,,,,CC0_1_0
70313709,specimen,CANL 116894,,"Sharnoff, Sylvia D.; Sharnoff, Steve",31,Canadian Museum of Nature,"31,123",Canadian Museum of Nature Herbarium,1993-10-07T01:00Z,1993,,Parmelia sulcata Taylor,Parmelia sulcata,Parmelia sulcata,,NULL,14011,14011,,46.28300095,-124.0670013,,,,,,,,53049,Pacific Co.,Pacific County,Washington,Washington,,,,US,http://www.nature.ca,http://nature.ca/en/research-collections/our-collections,,,,,CC_BY_4_0
70313710,specimen,CANL 118309,,"Sharnoff, Steve; Sharnoff, Sylvia D.",31,Canadian Museum of Nature,"31,123",Canadian Museum of Nature Herbarium,1993-10-07T01:00Z,1993,,Ramalina farinacea (L.) Ach.,Ramalina farinacea,Ramalina farinacea,,NULL,190868,190868,,46.28300095,-124.0670013,,,,,,,,53049,Pacific Co.,Pacific County,Washington,Washington,,,,US,http://www.nature.ca,http://nature.ca/en/research-collections/our-collections,,,,,CC_BY_4_0
70313711,specimen,CANL 115687,,"Sharnoff, Sylvia D.; Sharnoff, Steve",31,Canadian Museum of Nature,"31,123",Canadian Museum of Nature Herbarium,1993-10-07T01:00Z,1993,,"Cladonia furcata (Huds.) Schrad., 1794",Cladonia furcata,Cladonia furcata,,NULL,189900,189900,,46.28300095,-124.0670013,,,,,,,,53049,Pacific Co.,Pacific County,Washington,Washington,,,,US,http://www.nature.ca,http://nature.ca/en/research-collections/our-collections,,,,,CC_BY_4_0
70313712,specimen,CANL 117040,,"Sharnoff, Sylvia D.; Sharnoff, Steve",31,Canadian Museum of Nature,"31,123",Canadian Museum of Nature Herbarium,1993-10-07T01:00Z,1993,,Peltigera canina (L.) Willd.,Peltigera canina,Peltigera canina,,NULL,191226,191226,,46.28300095,-124.0670013,,,,,,,,53049,Pacific Co.,Pacific County,Washington,Washington,,,,US,http://www.nature.ca,http://nature.ca/en/research-collections/our-collections,,,,,CC_BY_4_0
